2023-07-27,DIVERS,14999.48
2023-07-27,"PALETTE MAQUILLAGE",53.70
2023-07-27,0,53.10
2023-07-27,"glam up ",44.50
2023-07-27,"sac femme",39.90
2023-07-27,0,34.50
2023-07-27,DIVERS,34.30
2023-07-27,0,31.60
2023-07-27,0,27.80
2023-07-27,0,24.50
2023-07-27,0,24.50
2023-07-27,0,24.50
2023-07-27,"paire droite passants voile sable gris",21.80
2023-07-27,"eponges de maquillage",20.70
2023-07-27,0,20.70
2023-07-27,"marmite creole 20cm",19.90
2023-07-27,0,19.80
2023-07-27,0,19.60
2023-07-27,0,19.60
2023-07-27,0,19.60
2023-07-27,0,19.60
2023-07-27,0,19.50
2023-07-27,"PALETTE ",17.80
2023-07-27,0,17.80
2023-07-27,0,17.70
2023-07-27,"poudre compacte miel",17.70
2023-07-27,"sac de plage",15.90
2023-07-27,0,14.70
2023-07-27,0,14.70
2023-07-27,0,13.90
2023-07-27,0,13.80
2023-07-27,0,13.80
2023-07-27,0,11.80
2023-07-27,0,11.80
2023-07-27,"poudre compacte ivoire",11.80
2023-07-27,0,11.80
2023-07-27,0,11.80
2023-07-27,panier,11.70
2023-07-27,"redonne aqua hair",11.70
2023-07-27,0,11.70
2023-07-27,0,11.70
2023-07-27,0,11.70
2023-07-27,0,11.40
2023-07-27,0,9.90
2023-07-27,0,9.80
2023-07-27,0,9.80
2023-07-27,vernis,9.80
2023-07-27,0,9.80
2023-07-27,0,9.80
2023-07-27,0,8.70
